domain,id,method,psnr,ssim,mae
anime,08_low,Real-ESRGAN,26.474502563476562,0.9068177342414856,0.024500353261828423
anime,09_low,Real-ESRGAN,27.1671199798584,0.8384811282157898,0.026191450655460358
anime,10_low,Real-ESRGAN,27.1890869140625,0.8727121353149414,0.021958010271191597
anime,11_low,Real-ESRGAN,29.912538528442383,0.914817750453949,0.018707700073719025
anime,12_low,Real-ESRGAN,22.05753517150879,0.6758219599723816,0.047765716910362244
anime,13_low,Real-ESRGAN,28.541229248046875,0.9252784848213196,0.020613623782992363
anime,14_low,Real-ESRGAN,27.14666175842285,0.8936285376548767,0.02469119243323803
anime,00_target,LUA,17.379667282104492,0.4157111644744873,0.10885286331176758
anime,01_target,LUA,18.886728286743164,0.4953133165836334,0.09358394145965576
anime,02_target,LUA,16.074909210205078,0.33443209528923035,0.11957988888025284
anime,04_target,LUA,16.940616607666016,0.3522995412349701,0.11576321721076965
anime,06_target,LUA,15.577003479003906,0.3095743656158447,0.12495001405477524
anime,08_target,LUA,16.927722930908203,0.3919600546360016,0.11282866448163986
anime,09_target,LUA,18.504579544067383,0.3848976790904999,0.09594976902008057
anime,10_target,LUA,19.7047176361084,0.4276234209537506,0.08103219419717789
anime,11_target,LUA,18.58669662475586,0.37574851512908936,0.09075955301523209
anime,12_target,LUA,14.752134323120117,0.22928713262081146,0.14440247416496277
anime,13_target,LUA,16.12920379638672,0.3032708466053009,0.11879914999008179
anime,14_target,LUA,17.257131576538086,0.3640478849411011,0.10987450927495956
anime,00_low,Bicubic,27.99781608581543,0.8959097862243652,0.017834024503827095
anime,00_low,Lanczos,28.223129272460938,0.899242639541626,0.01786491647362709
anime,01_low,Bicubic,39.560760498046875,0.9843485355377197,0.0054766833782196045
anime,01_low,Lanczos,41.43149948120117,0.9869038462638855,0.004686298314481974
anime,02_low,Bicubic,24.910573959350586,0.8378104567527771,0.02569282054901123
anime,02_low,Lanczos,25.109508514404297,0.8392791748046875,0.02576257660984993
anime,04_low,Bicubic,27.190685272216797,0.8828513622283936,0.017579257488250732
anime,04_low,Lanczos,27.432668685913086,0.8843830823898315,0.017845578491687775
anime,06_low,Bicubic,21.01287841796875,0.7228824496269226,0.0437563955783844
anime,06_low,Lanczos,21.120710372924805,0.7244071960449219,0.04411837086081505
anime,08_low,Bicubic,26.99432373046875,0.8733794689178467,0.021291058510541916
anime,08_low,Lanczos,27.192760467529297,0.8765606880187988,0.021432682871818542
anime,09_low,Bicubic,33.34821319580078,0.9188699722290039,0.013113787397742271
anime,09_low,Lanczos,34.01746368408203,0.9276037216186523,0.012465223670005798
anime,10_low,Bicubic,30.503456115722656,0.8796935081481934,0.014646115712821484
anime,10_low,Lanczos,30.686349868774414,0.8831057548522949,0.014729080721735954
anime,11_low,Bicubic,32.154850006103516,0.9395092725753784,0.012230373919010162
anime,11_low,Lanczos,32.62351608276367,0.9428462386131287,0.012022236362099648
anime,12_low,Bicubic,21.668704986572266,0.6251554489135742,0.04820121079683304
anime,12_low,Lanczos,21.766704559326172,0.6320255398750305,0.048201899975538254
anime,13_low,Bicubic,25.70560073852539,0.8728376626968384,0.025354502722620964
anime,13_low,Lanczos,25.991933822631836,0.8734351992607117,0.025574516505002975
anime,14_low,Bicubic,29.548227310180664,0.9038413763046265,0.017589105293154716
anime,14_low,Lanczos,29.93048858642578,0.9096078872680664,0.017384011298418045
