id,scale,method,psnr,ssim,mae
0011ecff-6266-4895-b73c-5766d7109485,2,LARP-Scaler,37.66987228393555,0.8943352103233337,0.008785751648247242
03f56ac9-b513-4476-bd25-665cd3e72244,2,LARP-Scaler,34.270999908447266,0.7735655307769775,0.01450060773640871
0c01876d-809f-4dcb-85c9-3c9b56e36607,2,LARP-Scaler,27.946996688842773,0.683222234249115,0.022888921201229095
0a514f6f-0493-44b7-b3e5-57e6eb23f5df,2,LARP-Scaler,28.56875228881836,0.6179207563400269,0.0265368539839983
0eae6ecc-a148-4840-acc5-d6ef0df1a53b,2,LARP-Scaler,34.27616500854492,0.8660202026367188,0.01322413980960846
0bcdc653-0908-4d94-a73d-e6ef44af41d4,2,LARP-Scaler,36.4444465637207,0.9333238005638123,0.006758606061339378
0fabbb3a-2d80-49d6-bb74-0db1884308b4,2,LARP-Scaler,38.28710174560547,0.9121432304382324,0.008368215523660183
1969798d-9f10-47c7-8174-f09edd723c4d,2,LARP-Scaler,29.297691345214844,0.583614706993103,0.025688735768198967
000ffd84-5baa-410f-bcd4-f573b3ef1e90,2,LARP-Scaler,33.10281753540039,0.8259167671203613,0.015012328512966633
12dfd514-c8fd-43a0-9752-5c115499352c,2,LARP-Scaler,39.75464630126953,0.9689249992370605,0.006031781900674105
1a807899-4d50-4a4b-9889-4bdbaa295837,2,LARP-Scaler,34.87227249145508,0.8878461718559265,0.01177478302270174
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,2,LARP-Scaler,20.318836212158203,0.3327096998691559,0.07574271410703659
0a18f121-1894-44bc-aed1-64803053eedd,2,LARP-Scaler,20.735198974609375,0.23217763006687164,0.0713442862033844
0e008abf-6508-4d15-b7ab-e16d0934e081,2,LARP-Scaler,33.621910095214844,0.9178690910339355,0.01195153221487999
05f94185-acdd-4e98-8922-541e095de4d2,2,LARP-Scaler,38.987274169921875,0.8946259617805481,0.008666387759149075
0a0f23f3-dd52-4e51-87af-d1adc33eddec,2,LARP-Scaler,29.89537239074707,0.730803906917572,0.020686926320195198
12943f83-8508-4341-aac5-6fe37ce3edc0,2,LARP-Scaler,30.816322326660156,0.8919441103935242,0.010121424682438374
1b1b640c-0d1b-48db-a038-04e7fc1e0833,2,LARP-Scaler,33.452857971191406,0.7385203838348389,0.016639230772852898
12304d70-1817-4fb4-96d7-6bbbd694abb9,2,LARP-Scaler,20.63791275024414,0.5347849130630493,0.06562356650829315
11800abf-3987-40ff-b410-ee7c0c899f0e,2,LARP-Scaler,43.08345031738281,0.9642110466957092,0.004191657993942499
08087bca-b1e9-4000-b5d5-913b1349eec6,2,LARP-Scaler,31.646591186523438,0.942955493927002,0.008480691350996494
04c9b3fc-cdd5-40e3-9306-46da4c1b3b25,2,LARP-Scaler,24.86873435974121,0.7555157542228699,0.03289331495761871
04e95b19-8f60-4f84-9cd1-0582adb58578,2,LARP-Scaler,27.628032684326172,0.7867665886878967,0.022282326593995094
14a76cb3-52f5-445c-a155-2e17b33403d6,2,LARP-Scaler,30.604055404663086,0.9248337149620056,0.014016668312251568
0f06820e-e836-4aeb-81b4-90c28295b48e,2,LARP-Scaler,25.429296493530273,0.5462422966957092,0.03722647204995155
1290c1c9-3d37-4a8b-8055-9f54769debd6,2,LARP-Scaler,31.054468154907227,0.7388082146644592,0.018936684355139732
17754e58-ac02-4a3b-9cda-bfea6af9409e,2,LARP-Scaler,37.95746612548828,0.9017664790153503,0.009446458891034126
01faa991-61f5-40be-ba65-ce64ae42befc,2,LARP-Scaler,38.185211181640625,0.926743745803833,0.008447696454823017
0d522483-8f40-4638-9f38-4e7d92876934,2,LARP-Scaler,29.32209014892578,0.8659582138061523,0.018980057910084724
12343c0c-0c8f-4a47-8a68-a65a1e4aa832,2,LARP-Scaler,29.77525520324707,0.8129940629005432,0.01880919560790062
164d1e74-efb3-4348-8612-02bf4b96efba,2,LARP-Scaler,30.875328063964844,0.6465347409248352,0.02101890929043293
19a76b64-f8cd-49c7-97d5-e552a4d679b6,2,LARP-Scaler,24.542869567871094,0.618558406829834,0.039656903594732285
037e70af-62b9-4bd8-9d24-25133b5d5239,2,LARP-Scaler,32.787899017333984,0.7937338948249817,0.016344385221600533
03c4de9f-8ba2-48b8-b8c6-ac993fb47f70,2,LARP-Scaler,24.964197158813477,0.6585862040519714,0.04343521595001221
08a94143-5e92-4ab8-8551-41ea0bdf198c,2,LARP-Scaler,30.84117889404297,0.8071208000183105,0.02067314274609089
14b64765-efc1-4c01-8478-7a538c1705bb,2,LARP-Scaler,29.080184936523438,0.6711788177490234,0.02651209384202957
0f506845-e6d2-4a1d-bd73-d88664ddcc02,2,LARP-Scaler,29.65364646911621,0.8073789477348328,0.022311056032776833
04cfacf2-6f2a-49b9-ae66-6b1416d61097,2,LARP-Scaler,26.13011360168457,0.6552969217300415,0.029457740485668182
13f659ca-400a-49e2-bfbc-ec6659a5634d,2,LARP-Scaler,27.3055477142334,0.6376402974128723,0.030607648193836212
0f7f0a0d-1d3d-4be7-9870-48625a3b0b20,2,LARP-Scaler,16.891706466674805,0.3724173307418823,0.10721120983362198
18b03d8b-9df0-4438-ba27-fd54a9e6833a,2,LARP-Scaler,27.045976638793945,0.8550364375114441,0.021975615993142128
17421445-d983-4f0b-a7a1-a184f9efc5b5,2,LARP-Scaler,36.01987838745117,0.927004873752594,0.010971415787935257
0ccbfb56-78d2-45f9-88b1-1849b71feed2,2,LARP-Scaler,31.832849502563477,0.8704249262809753,0.014131608419120312
192c9920-d370-4acb-b950-64122720343d,2,LARP-Scaler,24.143756866455078,0.6860928535461426,0.039013009518384933
0fb13d71-a78c-48fa-8680-244877311bd2,2,LARP-Scaler,33.07151412963867,0.8563248515129089,0.013579867780208588
130da723-8982-4a02-89c2-b267a9f6c2fb,2,LARP-Scaler,28.108062744140625,0.8140184879302979,0.022645406424999237
0b75a95e-82c4-481f-9dd7-6c5f2faaaff8,2,LARP-Scaler,26.890766143798828,0.8239924907684326,0.022559458389878273
1360ad02-4b4f-4a98-b1a9-9305909b857d,2,LARP-Scaler,20.726131439208984,0.7899158000946045,0.04025892913341522
0011ecff-6266-4895-b73c-5766d7109485,4,LARP-Scaler,37.997501373291016,0.9103533625602722,0.00803808867931366
03f56ac9-b513-4476-bd25-665cd3e72244,4,LARP-Scaler,34.989925384521484,0.8031384944915771,0.012928972952067852
0c01876d-809f-4dcb-85c9-3c9b56e36607,4,LARP-Scaler,27.01275062561035,0.6889791488647461,0.02366834133863449
0a514f6f-0493-44b7-b3e5-57e6eb23f5df,4,LARP-Scaler,29.700557708740234,0.6639246344566345,0.02313757687807083
0eae6ecc-a148-4840-acc5-d6ef0df1a53b,4,LARP-Scaler,35.36134338378906,0.8958466053009033,0.011586314998567104
0bcdc653-0908-4d94-a73d-e6ef44af41d4,4,LARP-Scaler,35.72184753417969,0.9234498143196106,0.00716083450242877
0fabbb3a-2d80-49d6-bb74-0db1884308b4,4,LARP-Scaler,39.142433166503906,0.934873104095459,0.007318791002035141
1969798d-9f10-47c7-8174-f09edd723c4d,4,LARP-Scaler,30.256908416748047,0.6238039135932922,0.023151777684688568
000ffd84-5baa-410f-bcd4-f573b3ef1e90,4,LARP-Scaler,33.467132568359375,0.8501423001289368,0.013928607106208801
12dfd514-c8fd-43a0-9752-5c115499352c,4,LARP-Scaler,38.882957458496094,0.971688449382782,0.005967020522803068
1a807899-4d50-4a4b-9889-4bdbaa295837,4,LARP-Scaler,36.14484405517578,0.9148088097572327,0.010260277427732944
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,4,LARP-Scaler,21.0765380859375,0.3612949550151825,0.06912488490343094
0a18f121-1894-44bc-aed1-64803053eedd,4,LARP-Scaler,21.972076416015625,0.2654750943183899,0.06248912587761879
0e008abf-6508-4d15-b7ab-e16d0934e081,4,LARP-Scaler,33.53921127319336,0.9260630011558533,0.011509506963193417
05f94185-acdd-4e98-8922-541e095de4d2,4,LARP-Scaler,40.12702178955078,0.9227359890937805,0.007403332740068436
0a0f23f3-dd52-4e51-87af-d1adc33eddec,4,LARP-Scaler,29.930530548095703,0.7449849247932434,0.019235054031014442
12943f83-8508-4341-aac5-6fe37ce3edc0,4,LARP-Scaler,30.838294982910156,0.8835656046867371,0.01023701298981905
1b1b640c-0d1b-48db-a038-04e7fc1e0833,4,LARP-Scaler,34.61478805541992,0.7934109568595886,0.01443446334451437
12304d70-1817-4fb4-96d7-6bbbd694abb9,4,LARP-Scaler,21.79193115234375,0.5756368041038513,0.05791185423731804
11800abf-3987-40ff-b410-ee7c0c899f0e,4,LARP-Scaler,42.27113342285156,0.9674870371818542,0.004070245195180178
08087bca-b1e9-4000-b5d5-913b1349eec6,4,LARP-Scaler,32.3682746887207,0.9476332664489746,0.007949878461658955
04c9b3fc-cdd5-40e3-9306-46da4c1b3b25,4,LARP-Scaler,25.69059181213379,0.7841420769691467,0.02967647649347782
04e95b19-8f60-4f84-9cd1-0582adb58578,4,LARP-Scaler,28.558950424194336,0.8148694038391113,0.019701089709997177
14a76cb3-52f5-445c-a155-2e17b33403d6,4,LARP-Scaler,29.342039108276367,0.909524142742157,0.01605231687426567
0f06820e-e836-4aeb-81b4-90c28295b48e,4,LARP-Scaler,26.013038635253906,0.5781964659690857,0.03444262221455574
1290c1c9-3d37-4a8b-8055-9f54769debd6,4,LARP-Scaler,31.72710418701172,0.7638025283813477,0.01744408719241619
17754e58-ac02-4a3b-9cda-bfea6af9409e,4,LARP-Scaler,38.87181854248047,0.92912358045578,0.008340936154127121
01faa991-61f5-40be-ba65-ce64ae42befc,4,LARP-Scaler,37.911231994628906,0.9253029823303223,0.008564668707549572
0d522483-8f40-4638-9f38-4e7d92876934,4,LARP-Scaler,30.01795196533203,0.8857619762420654,0.017091715708374977
12343c0c-0c8f-4a47-8a68-a65a1e4aa832,4,LARP-Scaler,31.03832244873047,0.8493420481681824,0.016384972259402275
164d1e74-efb3-4348-8612-02bf4b96efba,4,LARP-Scaler,31.441896438598633,0.6721708178520203,0.019588032737374306
19a76b64-f8cd-49c7-97d5-e552a4d679b6,4,LARP-Scaler,25.69618034362793,0.6737260818481445,0.03484204784035683
037e70af-62b9-4bd8-9d24-25133b5d5239,4,LARP-Scaler,33.530174255371094,0.8264309763908386,0.014779426157474518
03c4de9f-8ba2-48b8-b8c6-ac993fb47f70,4,LARP-Scaler,26.18082046508789,0.7174189686775208,0.03779846057295799
08a94143-5e92-4ab8-8551-41ea0bdf198c,4,LARP-Scaler,32.10544967651367,0.8643229007720947,0.017205147072672844
14b64765-efc1-4c01-8478-7a538c1705bb,4,LARP-Scaler,29.89725112915039,0.7142384648323059,0.023923980072140694
0f506845-e6d2-4a1d-bd73-d88664ddcc02,4,LARP-Scaler,30.034303665161133,0.8138487935066223,0.021418245509266853
04cfacf2-6f2a-49b9-ae66-6b1416d61097,4,LARP-Scaler,24.234010696411133,0.6712610125541687,0.03265475854277611
13f659ca-400a-49e2-bfbc-ec6659a5634d,4,LARP-Scaler,28.700267791748047,0.7098776698112488,0.025959722697734833
0f7f0a0d-1d3d-4be7-9870-48625a3b0b20,4,LARP-Scaler,17.576128005981445,0.3732513189315796,0.10300400108098984
18b03d8b-9df0-4438-ba27-fd54a9e6833a,4,LARP-Scaler,27.764629364013672,0.8690884709358215,0.020311102271080017
17421445-d983-4f0b-a7a1-a184f9efc5b5,4,LARP-Scaler,36.75843048095703,0.9413755536079407,0.010026187635958195
0ccbfb56-78d2-45f9-88b1-1849b71feed2,4,LARP-Scaler,32.76335906982422,0.8886545300483704,0.012849156744778156
192c9920-d370-4acb-b950-64122720343d,4,LARP-Scaler,24.87574577331543,0.7058393359184265,0.036232877522706985
0fb13d71-a78c-48fa-8680-244877311bd2,4,LARP-Scaler,33.27895736694336,0.8731355667114258,0.012938283383846283
130da723-8982-4a02-89c2-b267a9f6c2fb,4,LARP-Scaler,29.339048385620117,0.8472411036491394,0.01973036304116249
0b75a95e-82c4-481f-9dd7-6c5f2faaaff8,4,LARP-Scaler,27.700401306152344,0.8500847220420837,0.02034684456884861
1360ad02-4b4f-4a98-b1a9-9305909b857d,4,LARP-Scaler,19.62312126159668,0.7763951420783997,0.04789017513394356
0011ecff-6266-4895-b73c-5766d7109485,8,LARP-Scaler,35.16749954223633,0.8994715809822083,0.009151645004749298
03f56ac9-b513-4476-bd25-665cd3e72244,8,LARP-Scaler,34.28102111816406,0.7798140048980713,0.01370750367641449
0c01876d-809f-4dcb-85c9-3c9b56e36607,8,LARP-Scaler,25.134540557861328,0.6494719386100769,0.027380352839827538
0a514f6f-0493-44b7-b3e5-57e6eb23f5df,8,LARP-Scaler,29.579044342041016,0.6548156142234802,0.023411480709910393
0eae6ecc-a148-4840-acc5-d6ef0df1a53b,8,LARP-Scaler,33.6094970703125,0.8548286557197571,0.013549639843404293
0bcdc653-0908-4d94-a73d-e6ef44af41d4,8,LARP-Scaler,32.2881965637207,0.8661276698112488,0.010238888673484325
0fabbb3a-2d80-49d6-bb74-0db1884308b4,8,LARP-Scaler,38.35079574584961,0.9318016171455383,0.007460681721568108
1969798d-9f10-47c7-8174-f09edd723c4d,8,LARP-Scaler,29.87580108642578,0.5962774157524109,0.023913273587822914
000ffd84-5baa-410f-bcd4-f573b3ef1e90,8,LARP-Scaler,31.206972122192383,0.7974810600280762,0.017002316191792488
12dfd514-c8fd-43a0-9752-5c115499352c,8,LARP-Scaler,34.466217041015625,0.9478433132171631,0.008763004094362259
1a807899-4d50-4a4b-9889-4bdbaa295837,8,LARP-Scaler,34.406253814697266,0.8734266757965088,0.01201795693486929
08ea6679-7b6b-4a1b-91cd-c3b2cf7c8b2d,8,LARP-Scaler,19.933822631835938,0.22428499162197113,0.07603248953819275
0a18f121-1894-44bc-aed1-64803053eedd,8,LARP-Scaler,21.88418960571289,0.20587414503097534,0.06331450492143631
0e008abf-6508-4d15-b7ab-e16d0934e081,8,LARP-Scaler,30.87691307067871,0.8784038424491882,0.014917013235390186
05f94185-acdd-4e98-8922-541e095de4d2,8,LARP-Scaler,39.253055572509766,0.920604944229126,0.0076452293433249
0a0f23f3-dd52-4e51-87af-d1adc33eddec,8,LARP-Scaler,29.09058380126953,0.7031762599945068,0.020250791683793068
12943f83-8508-4341-aac5-6fe37ce3edc0,8,LARP-Scaler,30.104368209838867,0.8625228404998779,0.0114414282143116
1b1b640c-0d1b-48db-a038-04e7fc1e0833,8,LARP-Scaler,33.933326721191406,0.7838266491889954,0.014863790012896061
12304d70-1817-4fb4-96d7-6bbbd694abb9,8,LARP-Scaler,21.14079475402832,0.43945547938346863,0.06268585473299026
11800abf-3987-40ff-b410-ee7c0c899f0e,8,LARP-Scaler,38.07771682739258,0.960789144039154,0.0049150967970490456
08087bca-b1e9-4000-b5d5-913b1349eec6,8,LARP-Scaler,30.457122802734375,0.915814220905304,0.009984730742871761
04c9b3fc-cdd5-40e3-9306-46da4c1b3b25,8,LARP-Scaler,23.821928024291992,0.6880448460578918,0.035390641540288925
04e95b19-8f60-4f84-9cd1-0582adb58578,8,LARP-Scaler,27.365352630615234,0.7530575394630432,0.021930107846856117
14a76cb3-52f5-445c-a155-2e17b33403d6,8,LARP-Scaler,25.69493865966797,0.8133072853088379,0.024787969887256622
0f06820e-e836-4aeb-81b4-90c28295b48e,8,LARP-Scaler,25.368999481201172,0.5426482558250427,0.036259546875953674
1290c1c9-3d37-4a8b-8055-9f54769debd6,8,LARP-Scaler,31.166797637939453,0.7480995655059814,0.01826033741235733
17754e58-ac02-4a3b-9cda-bfea6af9409e,8,LARP-Scaler,36.956363677978516,0.9151937365531921,0.009012702852487564
01faa991-61f5-40be-ba65-ce64ae42befc,8,LARP-Scaler,35.250526428222656,0.884246826171875,0.010038419626653194
0d522483-8f40-4638-9f38-4e7d92876934,8,LARP-Scaler,28.012475967407227,0.8066336512565613,0.0212676003575325
12343c0c-0c8f-4a47-8a68-a65a1e4aa832,8,LARP-Scaler,30.15042495727539,0.8188677430152893,0.017658432945609093
164d1e74-efb3-4348-8612-02bf4b96efba,8,LARP-Scaler,31.4284610748291,0.6720882058143616,0.019576122984290123
19a76b64-f8cd-49c7-97d5-e552a4d679b6,8,LARP-Scaler,24.63544464111328,0.5832917094230652,0.03873017057776451
037e70af-62b9-4bd8-9d24-25133b5d5239,8,LARP-Scaler,31.985883712768555,0.8019461035728455,0.016785215586423874
03c4de9f-8ba2-48b8-b8c6-ac993fb47f70,8,LARP-Scaler,24.649368286132812,0.5764958262443542,0.04416058957576752
08a94143-5e92-4ab8-8551-41ea0bdf198c,8,LARP-Scaler,29.673892974853516,0.8253050446510315,0.0206074770539999
14b64765-efc1-4c01-8478-7a538c1705bb,8,LARP-Scaler,27.309707641601562,0.6629772782325745,0.028972215950489044
0f506845-e6d2-4a1d-bd73-d88664ddcc02,8,LARP-Scaler,27.685232162475586,0.6715555191040039,0.027715714648365974
04cfacf2-6f2a-49b9-ae66-6b1416d61097,8,LARP-Scaler,21.13695526123047,0.607591450214386,0.04151667654514313
13f659ca-400a-49e2-bfbc-ec6659a5634d,8,LARP-Scaler,27.59250831604004,0.6329328417778015,0.028582429513335228
0f7f0a0d-1d3d-4be7-9870-48625a3b0b20,8,LARP-Scaler,16.978679656982422,0.2409677952528,0.10989415645599365
18b03d8b-9df0-4438-ba27-fd54a9e6833a,8,LARP-Scaler,26.05647087097168,0.7845754027366638,0.024821674451231956
17421445-d983-4f0b-a7a1-a184f9efc5b5,8,LARP-Scaler,34.766639709472656,0.9201332926750183,0.01219478901475668
0ccbfb56-78d2-45f9-88b1-1849b71feed2,8,LARP-Scaler,31.712247848510742,0.8663321137428284,0.013796194456517696
192c9920-d370-4acb-b950-64122720343d,8,LARP-Scaler,23.394994735717773,0.5849849581718445,0.04227253794670105
0fb13d71-a78c-48fa-8680-244877311bd2,8,LARP-Scaler,30.40384292602539,0.8387638926506042,0.01663128472864628
130da723-8982-4a02-89c2-b267a9f6c2fb,8,LARP-Scaler,27.604042053222656,0.7681896686553955,0.0235588401556015
0b75a95e-82c4-481f-9dd7-6c5f2faaaff8,8,LARP-Scaler,26.02886199951172,0.7801230549812317,0.023990795016288757
1360ad02-4b4f-4a98-b1a9-9305909b857d,8,LARP-Scaler,17.593990325927734,0.6786646246910095,0.061781447380781174
0011ecff-6266-4895-b73c-5766d7109485,2,Bicubic,43.13813018798828,0.9640158414840698,0.004338119179010391
0011ecff-6266-4895-b73c-5766d7109485,2,Lanczos,43.44818878173828,0.9654356837272644,0.004239780828356743
0011ecff-6266-4895-b73c-5766d7109485,4,Bicubic,38.939186096191406,0.9374978542327881,0.0063528623431921005
0011ecff-6266-4895-b73c-5766d7109485,4,Lanczos,39.231842041015625,0.9380933046340942,0.006304375361651182
0011ecff-6266-4895-b73c-5766d7109485,8,Bicubic,35.12943649291992,0.9154123067855835,0.008099289610981941
0011ecff-6266-4895-b73c-5766d7109485,8,Lanczos,35.36331558227539,0.9153565168380737,0.008075214922428131
03f56ac9-b513-4476-bd25-665cd3e72244,2,Bicubic,38.46308898925781,0.9082317352294922,0.00835743360221386
03f56ac9-b513-4476-bd25-665cd3e72244,2,Lanczos,38.725582122802734,0.9144164323806763,0.008101364597678185
03f56ac9-b513-4476-bd25-665cd3e72244,4,Bicubic,35.527015686035156,0.8207609057426453,0.011819591745734215
03f56ac9-b513-4476-bd25-665cd3e72244,4,Lanczos,35.59355545043945,0.8231870532035828,0.011765949428081512
03f56ac9-b513-4476-bd25-665cd3e72244,8,Bicubic,34.365970611572266,0.7809326648712158,0.013330129906535149
03f56ac9-b513-4476-bd25-665cd3e72244,8,Lanczos,34.40504837036133,0.781409502029419,0.013330376707017422
0c01876d-809f-4dcb-85c9-3c9b56e36607,2,Bicubic,30.123085021972656,0.7741999626159668,0.017934618517756462
0c01876d-809f-4dcb-85c9-3c9b56e36607,2,Lanczos,30.361509323120117,0.7794312238693237,0.017706291750073433
0c01876d-809f-4dcb-85c9-3c9b56e36607,4,Bicubic,27.13324546813965,0.7022766470909119,0.022924726828932762
